Unnamed: 0,Norwegian,English
2944,ei flue,fly
2945,tenkning -en,"[the] thinking, though"
2946,et skiføre,skiing conditions 
2947,hensiktsmessig,"appropriate, suitable"
2948,et volum,volume 
2949,ei skål,"cup, bowl"
2950,å skinne,"to shine, glow, blaze"
2951,en streik,strike 
2952,en nybegynner,"beginner, novice"
2953,å bosette,to settle
2954,å pusse,"to clean, polish"
2955,en tropp,troop
2956,å sprekke,"to crack, burst "
2957,en idiot,"idiot, idiocy"
2958,ei belastning,"charge, debit; load, loading"
2959,å omkomme,"to perish, be lost"
2960,en bursdag,birthday 
2961,sand -en,"[the] sand, grit"
2962,en plen,lawn 
2963,overkant -en,"[the] top, upper edge "
2964,en beboer,dweller; occupant
2965,et manus,"manuscript, script "
2966,ei pil,"arrow, dart; willow"
2967,en orgasme,orgasm 
2968,ei oppsummering,summary 
2969,jævlig,"devilish, hellish"
2970,orientering -a,"[the] orientation, briefing"
2971,indirekte,indirect
2972,ei oppkjøring,run-up 
2973,en tippeliga,premier league 
2974,å fengsle,"to imprison, confine, enthrall"
2975,å anklage,to accuse
2976,en kopp,cup
2977,å overse,"to overlook, miss"
2978,en handlingsplan,"action plan, plan of action "
2979,pårørende,"relation, relative, next of kin "
2980,et tastatur,keyboard 
2981,ei menneskehet,humanity 
2982,å mure,to build
2983,et helsevesen,public health service 
2984,å fremheve,"to call attention to, stress"
2985,en komedie,comedy
2986,å innlede,"to begin, open; introduce"
2987,en kamerat,comrade
2988,avholdt,"beloved, popular"
2989,ei bønn,"prayer; apeal, entreaty"
2990,en tysker,German
2991,hvile -a,[the] rest
2993,fornybar,renewable 
2994,estetisk,esthetic
2995,innover,along 
2996,deriblant,"among these (those, them); including"
2997,imellom,between; among
2998,en plattform,platform 
2999,et nyhetsbrev,newsletter 
3000,forsvarlig,"defensible, justifiable"
3001,et speil,"mirror, glass "
3002,ei kjellerstue,"rumpus room, recreation room "
3003,et hi,winter lair
3004,halvannen,one and a half
3005,en kjele,"kettle, pot; (steam) boiler"
3006,ei målgruppe,target group 
3007,ei innside,inside
3008,en arbeidsledighet,unemployment 
3009,å grave,to dig
3010,løpende,running
3011,en jævel,devil 
3012,å prestere,to perform 
3013,optisk,"optical, optic"
3014,en liga,league
3015,et register,register
3016,en sjokolade,chocolate 
3017,ei påvirkning,influence 
3018,en skam,shame 
3019,å sjokkere,to shock 
3020,en nedtur,"decline, disappointment "
3021,dominerende,"commanding, dominant"
3022,slank,"slim, slender "
3023,å forlange,"to ask for, demand, insist upon"
3024,hes,"hoarse, husky"
3025,fett -et,"[the] fat, gease"
3026,en gårsdag,yesterday
3027,grøt -en,"[the] mush, porridge"
3028,ei tåre,tear 
3029,et gode,"benefit, blessing"
3030,å gjete,"to visit, frequent"
3031,utfordrende,"challenging, defiant "
3032,en vinge,wing 
3033,et kast,"cast, throw; toss; gust (of wind)"
3034,et protein,protein 
3035,et telt,"tent, marquee "
3036,vell -et,[the] spring; abundance
3037,et svangerskap,pregnancy 
3038,å henvende,"to address, direct"
3039,en mote,"fashion, mode "
3040,en svenske,Swede 
3041,å forvirre,"to bewilder, confuse"
3042,universell,universal
3043,å etterlyse,"to advertise for, institure a search for"
3044,et arsenal,arsenal
3045,å oppholde,"to keep, delay, hold up"
3046,en høyesterett,Supreme Court
3047,en tilskuer,spectator 
3048,urettferdig,unfair 
3049,formidling -a,"[the] dissemination, negotiation "
3050,en danseskole,dancing school
3051,psykologisk,psychological 
3052,en psykolog,psychologist 
3053,ideell,"ideal, perfect; idealistic"
3054,en serierunde,(sport) series 
3055,ei regulering,"regulation, control, governing "
3056,ei forurensning,"contamination, pollution, impurity"
3057,et bedehus,(religious) meeting house
3058,narkotika -en,"[the] narcotics, drugs, anaesthetics "
3059,en barnevakt,baby-sitter
3060,pensum -et,"[the] syllabus, curriculum"
3061,konsentrasjon -en,[the] concentration
3062,en harddisk,"fixed disk, hard disk "
3063,forståelig,comprehensible
3064,et årstall,"date (of the year), year"
3065,å fryse,to be/feel cold; freeze
3066,korrupsjon -en,[the] corruption
3067,en hai,shark
3068,Afrika,Africa
3069,et show,show 
3070,å omsette,"to dispose of, sell; realize"
3071,en nettleser,browser 
3072,å lyve,"to lie, tell a falsehood"
3073,friluftsliv -et,[the] outdoor life
3074,rasjonell,rational
3075,en kvadratmeter,square meter (1.193 sq. yds.)
3076,ei generalforsamling,general assembly; board meeting
3077,utallig,"innumerable, numberless"
3078,velferd -a,"[the] welfare, well-being "
3079,å brygge,to brew
3080,en vaktmester,"janitor, caretaker"
3081,ei beregning,"calculation, estimate, ingenuity"
3082,en utedo,privy 
3083,et steg,"step, stride"
3084,en underetasje,basement
3085,en leir,camp
3086,å lande,to land
3087,å anvende,"to use, utilize, make use of"
3088,kostbar,"costly, expensive"
3089,akademisk,academic
3090,å gjengi,"to give back, restore [archaic]"
3091,et hakk,"stammer, stutter, notch"
3092,en argumentasjon,argumentation
3093,å krangle,"to bicker, squabble"
3094,et treff,hit; chance 
3095,en oppdretter,breeder 
3096,å tømme,"to drain, empty, clear "
3097,en appell,appeal
3098,en kabel,"cable (rope, wire, electric)"
3099,ei bombe,"bomb, bombshell"
3100,en passasjer,passenger 
3101,ei bølge,wave
3102,sult -en,"[the] hunger, starvation, famine "
3103,en sommerferie,summer holidays 
3104,en dokumentar,documentary film 
3105,en oppførsel,"behaviour, manners "
3106,et Stortingsvalg ,general election
3107,et referat,"account, report, minutes "
3108,å smøre,"to oil, lubricate, grease"
3109,pågående,"ongoing, energetic, pushing"
3110,småting -en,"[the] trifles, little things"
3111,en kommisjon,commission
3112,et småbruk,"small holding, small farm "
3113,ei oppslutning,support
3114,oppå,"on, upon, on top (of)"
3115,en slalåmbakke,"slalom hill, ski slope "
3116,ei skråning,slope 
3117,en sti,path 
3118,uønsket,"unwanted, unwished for; undesirable"
3119,ei overvåking,"surveillance, inspection, observation"
3120,slitsom,"hard, strenuous, toilsome "
3121,ei kake,"cake, cookie"
3122,brukbar,"fit for use, passable, fairly good"
3123,ei matvare,"food, provisions"
3124,ei sag,saw 
3125,ideologisk,ideological
3126,strategisk,strategic 
3127,et boligmarked,housing market
3128,ei rundkjøring,"roundabout, traffic circle "
3129,å lyse,"to shine, lighten, dawn"
3130,å annonsere,to advertise; announce
3131,inflasjon -en,[the] inflation
3132,separat,separate 
3133,å skyve,"to push, shove "
3134,et hinder,"fence, obstacle"
3135,skyldig,guilty
3136,en onkel,uncle 
3137,verdig,worthy
3138,en halvtime,half hour
3139,en offentlighet,"public access, disclosure, publicity "
3140,astma -en,[the] asthma
3141,en fredspris,(Nobel) peace prize
3142,akutt,acute
3143,å frustrere,to frustrate
3144,østre,eastern
3145,en betegnelse,designation; indication
3146,ei forelesning,(university) lecture
3147,å forestille,"to introduce, present, depict"
3148,en ektemann,husband
3149,et verksted,"workshop, repair shop"
3150,å anerkjenne,"to recognize, acknowledge"
3151,smal,"narrow, slender"
3152,uventet,unexpected
3153,å bevilge,"to appropriate, grant"
3154,å motsette,"to oppose, be opposed to, resist"
3155,et teppe,"carpet, rug, curtain "
3156,en aksjonær,"shareholder, stockholder"
3157,moden,"ripe, mature "
3158,begrenset,"limited, confined, restricted "
3159,en jeger,hunter
3160,en ild,"fire, ardour "
3161,en grunnlov,constitution
3162,smør -et,[the] butter 
3163,underholdende,entertaining 
3164,innsyn -et,[the] view (into)
3165,en tankegang,"mentality, mind"
3166,et utfall,"outcome, result, issue "
3167,å beskylde,to accuse (sby of sth)
3168,å frakte,"to haul, transport"
3169,en sjanger,"genre, manner, style "
3170,en lærerskole,teachers' (training) college
3171,ei tilnærming,"approximation, approach "
3172,en duell,duel
3173,en dagsorden,agenda (of a meeting)
3174,et kor,"choir, chorus"
3175,gledelig,"glad, happy"
3176,å klemme,"to press, squeeze; hug; pinch"
3177,å referere,"to report, give an account of "
3178,et sinne,"anger, temper "
3179,en installasjon,installation
3180,en fotballspiller,"football player, footballer "
3181,en stillhet,"stillness, quiet"
3182,islamsk,Islamic 
3183,ethvert,"every (-one, -body) (neutral)"
3184,et opphav,"origin, source, cause"
3185,et karneval,"maquerade ball, carnival"
3186,følgelig,"accordingly, consequently"
3187,å dempe,"to lessen, lower, muffle, soften"
3188,å demonstrere,to demonstrate
3189,identisk,identical
3190,en kritiker,critic
3191,et kommunestyre,"city council, county board"
3192,gigantisk,gigantic
3193,skitten,"dirty, polluted, muddy, obscene"
3194,en hyttetur,(weekend) trip to a cabin
3195,lagring -a,"[the] storage, warehousing, maturing, seasoning"
3196,akseptabel,acceptable
3197,å vie,"to consecrate, dedicate, marry"
3198,intellektuell,intellectual
3199,en hoppbakke,(ski) jumping hill
3200,et bind,"bandage, sanitary napkin, truss, blindfold, volume (book)"
3201,ris -en,[the] rice 
3202,et styremedlem,director; board member
3203,spredning -a,"[the] spread, scattering, diffusion"
3204,intelligent,intelligent
3205,ei innledning,"beginning, opening; preface"
3206,gjengjeld -en,"[the] return, reprisal"
3207,service -n,[the] service 
3208,en hauk,hawk
3209,herfra,from here; from this
3210,en seer,"viewer; seer, prophet "
3211,en manager,"impresario, manager, agent "
3212,et hoff,"court, royal household"
3213,en dybde,depth(s); [fig.] profundity
3214,en ånd,"spirit; genius, intellect, mind"
3215,ei grind,"gate, wicket"
3216,naiv,"simple(-minded), naive, ingenuous, artless "
3217,ei rehabilitering,rehabilitation 
3218,å grille,"to grill, barbecue"
3219,å utelukke,to exclude; prevent
3220,et toalett,"toilet, bathroom "
3221,en fritidsklubb,"recreation club, youth club "
3222,et arbeidsmiljø,work environment
3223,plast -en,[the] plastic
3224,en fridag,"holyday, day (night) off"
3225,bråk -et,"[the] noise, difficulty, fuss, trouble"
3226,et fotballag,football team 
3227,en klassiker,classic; classicist
3228,en kafé,"cafe, restaurant"
3229,nøytral,neutral 
3230,en instruktør,"coach, director (of a theater)"
3231,et fotografi,"photograph, photography"
3232,usynlig,invisible 
3233,ei hodepine,headache
3234,å avgi,"to give, make (statement); emit, give off (e.g. odor)"
3235,femtende,fifteenth
3236,en os,"smoke, strong odour, reek "
3237,en oversettelse,"translation, version, rendering "
3238,en lisens,license
3239,å farte,to wander from place to place
3240,en anmelder,"critic, reviewer; informer"
3241,å tilsette,"to add, appoint "
3242,et bad,"bath, swim, dip, bathroom, bathing resort"
3243,ei tomt,"lot, site, yard, plot "
3244,hundrevis,hundreds
3245,en agenda,agenda 
3246,en espresso,espresso 
3247,å påføre,"to insert in, add to, cause"
3248,ei drue,"grape, [poet.] wine"
3249,en fylkesmann,"~county prefect, district governor"
3250,et hopp,"jump, leap, hop"
3251,en adferd,behaviour
3252,et skuespill,"play, spectacle "
3253,en debut,début
3254,nord,north 
3255,feber -en,[the] fever
3256,rasistisk,racist 
3257,å erkjenne,"to acknowledge, admit; perceive, realize"
3258,en megler,"arbitrator, mediator, negotiator"
3259,ei brødskive,slice of bread
3260,å digge,"(slang) dig, enjoy "
3261,en brannmann,fireman
3262,fyll -a,"[the] fill, rubble, padding"
3263,en dusj,shower (bath; apparatus)
3264,bortenfor,"beyond, on the other side (of)"
3265,et klipp,"clip, clipping, snip"
3266,rettferdighet -en,[the] justice 
3267,tilrettelegging -a,[the] adaption 
3269,en bergenser,man from Bergen
3270,å låte,"to ring, sound; whimper"
3271,et terningkast,throw of the dice; rating
3272,et barndomshjem,childhood home
3273,å snike,"to sneak, slink "
3274,lovverk,"law code, legislation"
3275,tjue,twenty 
3276,å underlegge,"to place under; subdue, conquer"
3277,ufattelig,"incomprehensible, inconceivable "
3278,et kjøleskap,refrigerator
3279,et fagområde,"subject area, specialized field "
3280,å lade,to charge
3281,jordbruk -et,[the] agriculture
3282,en illustrasjon,illustration
3283,volleyball -en,[the] volleyball 
3284,litterær,literary
3285,meg,"me, myself <objective case of jeg, eg>"
3286,et skoleår,school year
3287,voldelig,"forcible, forcibly"
3288,et prosentpoeng,percentage point
3289,et kjør,rush
3290,vestover,to the west
3291,overvekt -a,"[the] excess weight, predominance "
3292,en formue,"fortune, assets, capital"
3293,et varsel,warning
3294,en fangst,"catching, taking"
3295,alliert,"allied power, ally "
3296,en vane,"habit, custom"
3297,en kul,"bump, swelling "
3298,en gris,pig; grease
3299,innpå,"close to, close up to"
3300,en ungkar,bachelor 
3301,et medlemsland,member country 
3302,borti,"against; over at, over in"
3303,funksjonshemmet,"disabled, functionally disabled "
3304,et passord,password 
3305,et klasserom,classroom
3306,å forsinke,to delay
3307,en trener,"coach, trainer "
3308,en demonstrasjon,"demonstration (public protest, show of feeling)"
3309,ei økt,"spell, shift "
3310,et trehus,"wooden house, treehouse "
3311,å skjerpe,to sharpen 
3312,ei levering,[merc.] delivery
3313,oppsiktsvekkende,"sensational, dramatic "
3314,en slipp,slip; boat yard; gi ~ på = to give up
3315,å praktisere,"to practice, put into practice "
3316,tømmer -et,"[the] timber, lumber, logs "
3317,en dåp,"baptism, christening"
3318,å filme,"to act in the movies; make, produce a movie"
3319,et teater,theatre 
3320,åpenhet -en,"[the] openness, receptivity; candor, frankness"
3321,noenlunde,"tolerably, fairly, passably"
3322,elleve,eleven
3323,selvtillit -a,"[the] self-confidence, self-reliance "
3324,ei tatovering,tattooing 
3325,ei rekkefølge,"order, sequence, succession"
3326,et samtykke,"consent, approval, approbation "
3327,uavgjort,"unsettled, undecided "
3328,en sykkelsti,cycle lane 
3329,å bomme,to miss; beg
3330,ei svigerdatter,daughter-in-law 
3331,ap -et,"[the] jester, teaser"
3332,gresk,Greek
3333,en storby,"city, large city "
3334,ei celle,cell
3335,en pensjonist,pensioner
3336,å tilsende,to send to
3337,å undervise,"to teach, instruct, train "
3338,å springe,to run; jump
3339,troverdig,credible 
3340,en megapiksel,megapixel 
3341,et søsken,sibling
3342,et rede,nest 
3343,en skandale,scandal 
3344,en master,[naut.] mast; (power) pylon; (radio) tower
3345,nød -a,"[the] need, want, necessity, emergency "
3346,snever,"narrow, close "
3347,snål,"odd, droll, funny "
3348,en stiftelse,"establishment, founding "
3349,jernbane -n,"[the] railroad, railway"
3350,slang -en,[the] slang 
3351,et søkelys,searchlight 
3352,ei arbeidsgruppe,"work group, working group"
3353,å skravle,"to chatter, jabber "
3354,et mesterskap,[i sport] championship 
3355,ei skive,"face, slice"
3356,ei skjorte,shirt 
3357,å etterfølge,"to follow, comply with"
3358,ei skiløype,ski track
3359,ei sammensetning,composition
3360,ensom,"lonely, lonesome"
3361,omsider,"at (long) last, at length; finally"
3362,en boligpris,house price
3363,en business,business 
3364,en lagmannsrett,"[jur.] circuit court, court of appeals"
3365,et inngrep,"interference, intervention"
3366,å sjarmere,"to charm, fascinate "
3367,et mannskap,men; [mil.] troops
3368,ei rulleskøyte,roller skate 
3369,å innhente,"to obtain, secure"
3370,ei rotte,rat 
3371,angivelig,"ostensible, reported, supposed"
3372,ei lommebok,billfold; wallet
3373,opplagt,"in a good mood, fit, in form "
3374,en riksvei,main road
3375,ei diskriminering,discrimination 
3376,å forlenge,"to lengthen, extend, prolong"
3377,å restaurere,"to restore, renovate "
3378,en samarbeidspartner,"collaborator, partner "
3379,å pynte,"to decorate, trim "
3380,en veileder,guide
3381,språklig,linguistic 
3382,et farvel,goodbye; [poet.] farewell
3383,å lokke,"to allure, entice, tempt; lure; seduce"
3384,å verne,"to preserve, defend "
3385,isteden,instead
3386,å konstatere,"to ascertain, establish; declare"
3387,et korn,grain; cereal(s); kernel; sight (on a gun)
3388,ei overside,"top side, upper side "
3389,ei lomme,pocket
3390,fristende,"alluring, inviting"
3391,å overnatte,"to stay overnight, spend the night "
3392,et aksjemarked,"equity market, share market, stock exchange "
3393,atter,"[lit.] again, once more"
3394,kongelig,"royal, regal, kingly"
3395,ei utside,outside 
3396,lukt -en,"[the] odor, smell"
3397,oppigjennom,up through
3398,en allianse,alliance
3399,syvende,seventh 
3400,optimistisk,optimistic 
3401,varierende,varying
3402,en konsernsjef,group managing director and chief executive
3403,gjennomgående,"through, common, general"
3404,misbruk -et,"[the] misuse, improper use "
3405,diesel -en,[the] diesel (fuel)
3406,en krok,hook; bend
3407,hektisk,hectic
3408,en motorvei,"motorway, highway "
3409,offshore,offshore 
3410,en krets,"circle, ring; district"
3411,tilgjengelighet -a,"[the] accessibility, availability "
3412,å drite,to defecate [vulg.]
3413,ei melkeku,milk cow
3414,å stifte,"to found, institute; nail"
3415,respektiv,respective 
3416,å summe,"to buzz, hum, drone "
3417,å tråkke,"to trudge, trample"
3418,å strømme,"to flow, stream"
3419,anvendelse -n,"[the] use, making use (of)"
3420,en postboks,post office box
3421,et pund,pound 
3422,en ljå,scythe
3423,en opprinnelse,"origin, source "
3424,en ost,cheese
3425,en prins,prince 
3426,et opprør,"riot, uproar"
3427,å frata,to deprive of
3428,absurd,absurd
3429,fæl,"awful, terrible"
3430,å oppgradere,to upgrade 
3431,å bade,to bathe; go swimming
3432,å toppe,"to top, (waves) comb, crest"
3433,ei mellomtid,interval 
3434,kull -et,"[the] brood, hatch, litter; coal"
3435,sammenhengende,coherent
3436,blodig,"bloody; cruel, rank"
3437,krem -en,[the] whipped cream; custard; face cream
3438,kontant,"cash; forthright, ready; bossy"
3439,et ritt,ride 
3440,å utdele,"to distribute, share out, apportion "
3441,fysikk -en,[the] physics
3442,et sykehjem,nursing home 
3443,passiv,"passive, inactive"
3444,matt,"faint, feeble; dull, mat; lackluster"
3445,et bredbånd,"wide strip, broadband"
3446,å innfri,"to fulfill, redeem"
3447,kompleks,complex
3448,flaks -en,[the] luck
3449,et aspekt,"configuration (of stars); [pop.] [pl] omens, prospects (esp. for weather)"
3450,å gjette,"to guess, conjecture"
3451,personell -et,[the] personnel 
3452,skjønt,"though, although "
3453,å sovne,to fall asleep 
3454,ei turnering,"tournament, turney, joust "
3455,en flokk,"body, crowd, flock"
3456,derved,"thereby, by that means, with that"
3457,en semifinale,semifinal 
3458,genetisk,genetic
3459,ishockey -en,[the] ice hockey
3460,dressur -en,[the] (animal) training
3461,en stolpe,"pole, post, pillar "
3462,en disposisjon,"disposition, nature; (pl) measures, steps"
3463,en monitor,monitor 
3464,en bestefar,grandfather
3465,en general,general [mil.]
3466,en skala,scale 
3467,et lokalsamfunn,local community 
3468,omstridt,"at issue, in dispute, disputed "
3469,en distribusjon,distribution
3470,en borger,citizen
3471,en make,"mate; equal, spouse"
3472,ei hette,"hood; cap, cowl"
3473,en depresjon,depression
3474,herlighet -a,"[the] glory, splendor"
3475,et vassdrag,waterway
3476,å provosere,to provoke 
3477,en konsesjon,"concession, license, rights"
3478,en mottaker,"recipient, consignee, receiver"
3479,ei oppgradering,upgrading 
3480,en represalie,reprisal 
3481,en løper,runner
3482,et grisehus,pigsty
3483,å ty,"to fall back on, take refuge with "
3484,gjemsel -et,[the] hiding place
3485,shopping -en,[the] shopping
3486,kontra,vesus
3487,dødelig,"deadly, fatal, mortal"
3488,internasjonal ,international 
3489,en opprettelse,"establishment, setting up, foundation "
3490,pepper -en,[the] pepper
3491,en okkupasjon,occupation 
3492,å stelle,"to take care of, arrange; nurse"
3493,et friår,"sabbatical year, year off, year free "
3494,en ordre,"order, command "
3495,en revolusjonær,revolutionary 
3496,et forbilde,"ideal, model, pattern"
3497,et fôr,"feed, fodder"
3498,en fjord,"fjord, inlet"
3499,innendørs,indoor
3500,å veie,to weigh
3501,å forkjøle,to cool
3502,en bruker,"person who operates, runs sth"
3503,en oppvekst,years of growth 
3504,fløte -a,[the] cream
3505,en trailer,"trailer, trailer truck "
3506,en akademiker,"academician, college graduate"
3507,ei bestilling,"order; office, position; job"
3508,å finte,to feint; tease
3509,å smelte,"to melt, smelt"
3510,arbeidstilsyn -et,[the] (local) labor commission (to enforce labor laws)
3511,en ørret,trout 
3512,å revidere,"to audit, examine, revise"
3513,å stramme,to tighten 
3514,ei tante,aunt
3515,å innstille,"to adjust, focus; adapt"
3516,et abonnement,subscription
3517,å slikke,to lick
3518,å pågripe,to arrest 
3519,hurtig,"fast, quick"
3520,å røpe,"to betray, disclose, give away, divulge"
3521,uregistrert,unregistered 
3522,et helsepersonell,"health personnel, medical personnel "
3523,herregud,"good God, good grief"
3524,en dokk,dock
3525,et utkast,"design, draft, outline, sketch "
3526,defensiv,defensive
3527,en spekulasjon,speculation 
3528,et byggefelt,development 
3529,ei henvisning,reference
3530,en jury,jury (=lay judges); panel of judges
3531,en tillitsvalgt,"representative, spokesman"
3532,ei budeie,"dairy maid, milkmaid"
3533,ei bukse,"trousers, pants"
3534,innimellom,in between
3535,å brøyte,"to clear away, break (new land), struggle"
3536,plagsom,"annoying, troublesome "
3537,bridge -n,[the] bridge (card game)
3538,et ståsted,fixed place 
3539,en selvfølge,matter of course 
3540,ei brakke,barracks
3541,redd,"frightened, afraid"
3542,å bråke,"to be noisy, make fuss/trouble, brake, scutch"
3543,å anmelde,"to review (book, etc.), report (e.g. crime)"
3544,ei børse,(hunting) gun
3545,hjertelig,"coridal, hearty"
3546,bondeland -et,"[the] countryside, rural area "
3547,en seksualitet,sexuality 
3548,å krype,"to crawl, creep"
3549,gjennomslag -et,[the] breakthrough
3550,ei varsling,warning 
3551,konsekvent,"consistent, logical"
3552,et beite,bait
3553,mekanisk,mechanical
3554,å begeistre,to inspire
3555,gyldig,valid
3556,et balltre,(sport) bat
3557,en konsulent,"adviser, consultant"
3558,betraktelig,considerable
3559,en porsjon,"helping, portion, plate"
3560,en enkeltperson,"individual, person "
3561,en funksjonalitet,functionality 
3562,en allé,"avenue (of trees), trees lining and avenue"
3563,urolig,"busy; disharmonious, uncomfortable"
3564,en sport,sport
3565,utendørs,outdoor(s)
3566,ei samhandling,interaction 
3567,anerkjent,"accepted, acknowledged"
3568,ei venteliste,waiting list 
3569,en komité,committee
3570,ei høyreside,"right-hand, politikk) the Right, the right-wing "
3571,å drøye,"to make sth go a long way, last longer"
3572,et ideal,ideal
3573,en helsetjeneste,health service 
3574,en nordmann,Norwegian 
3575,å vedde,"to bet, wager"
3576,underliggende,underlying 
3577,en varmekabel,heater cable 
3578,å døpe,"to baptize, christen; [fig.] name"
3579,ei due,"dove, pigeon"
3580,en kalori,calorie
3581,utenat,by heart 
3582,et eple,apple
3583,usunn,unhealthy
3584,en undulat,budgie
3585,gjensidig,"mutual, reciprocal"
3586,en tyggegummi,chewing gum 
3587,logikk -en,[the] logic
3588,en ingrediens,ingredient
3589,en skaper,"creator, maker "
3590,å tusle,"to patter, walk gently "
3591,et tun,yard 
3592,pakistansk,Pakistani 
3593,en kreativitet,creativity 
3594,resterende,"remaining, residual "
3595,ei bakside,rear; reverse
3596,et objekt,object
3597,et skjær,"skerry, rock, reef, gleam "
3598,odds -en,[the] odds 
3599,en gudstjeneste,(divine) service(s)
3600,kortsiktig,[merc.] short-dated (loan)
3601,ei voldtekt,rape
3602,en fusjon,[merc.] merger
3603,sportslig,sporting 
3604,ei lønning,"pay, salary, wages"
3605,samfunnsmessig,social 
3606,en fordom,"of old, in (the) days of yore"
3607,en abort,abortion; miscarriage
3608,en spiker,"nail, spike "
3609,avdød,"dead, deceased"
3610,å importere,to import
3611,en sving,"curve, turn, swing"
3612,suveren,"superior, supreme "
3613,enestående,"exceptional, unique; marvellous"
3614,ei perle,pearl 
3615,et tidsrom,"time, period, time span "
3616,terrorisme -n,[the] terrorism
3617,ei føring,"handling, transport, cargo, load"
3618,ei snor,string 
3619,usedvanlig,"unusual, uncommon "
3620,fremgang -en,"[the] advancement, progress"
3621,en smågutt,little boy 
3622,en skuff,drawer 
3623,et tryne,snout 
3624,å formulere,"to formulate, word"
3625,integrering -a,[the] integration 
3626,grafisk,graphic
3627,ei sklie,slide 
3628,en karbohydrat,carbohydrate 
3629,ei flukt,"escape, flight"
3630,en skjærgård,skerries 
3631,sulten,hungry 
3632,overvektig,overweight
3633,en ideologi,ideology
3634,siviltjeneste -n,[the] civilian national service 
3635,solidaritet -en,[the] solidarity 
3636,en kommunist,Communist
3637,et vennskap,friendship 
3638,bokstavelig,"literal, to the letter"
3639,en sentralskole,consolidated school
3640,ei bestemor,grandmother
3641,en klode,"planet, earth, world"
3642,maktmisbruk -et,[the] abuse of power 
3643,en sirkel,circle 
3644,Sovjetunion -en,[the] Soviet Union 
3645,å frigjøre,"to emancipate, liberate"
3646,ei rype,grouse 
3647,en sekretær,secretary 
3648,ei hovedrolle,leading role
3649,en nerve,nerve 
3650,å svelge,to swallow 
3651,ei ventetid,waiting time
3652,oppdrett -et,"[the] breeding, raising "
3653,å klarere,to clear; [obs.] pay off
3654,fagfolk -et,"[the] experts, professionals"
3655,diger,"big, enormous, heavy, thick"
3656,håndball -en,[the] handball; ball of the thumb
3657,enslig,"alone, single, solitary"
3658,ironisk,ironic
3659,å svi,"to burn, singe"
3660,drivstoff -et,"[the] engine fuel, propellant "
3661,en hovedperson,protagonist; head of a household
3662,å motivere,"to justify, motivate"
3663,ei dumping,dumping (of goods)
3664,en influensa,"influenza, flu"
3665,en plakat,"placard, bill, poster "
3666,et bær,berry
3667,et ektepar,married couple
3668,å klappe,"to pat, hit, clap, beat (of heart)"
3669,et punktum,"full stop, period"
3670,et pakk,"scum, riff-raf; baggage [fam.]"
3671,å kjennetegne,"to distinguish, mark"
3672,å karakterisere,to characterize
3673,å forfølge,"to follow, hunt, pursue, continue"
3674,metall -et,[the] metal 
3675,minimal,"minimal, negligible "
3676,en skepsis,scepticism 
3677,en debattant,"debater, discussant"
3678,en kylling,chick; chicken (meat)
3679,folkelig,"democratic, homely, plain, of the folk"
3680,et forbehold,"reservation, caution"
3681,verdiskaping -a,[the] added value
3682,ei prinsesse,princess 
3683,et stipend,"scholarship, stipend"
3684,en garasje,garage
3685,ei bevilgning,"appropriation (granting, funds granted)"
3686,et skall,shell; peel; hull 
3687,stilig,stylish 
3688,ei bro,bridge
3689,en forberedelse,"arrangement, preparation"
3690,hasj -en,"[the] hashish, hash, pot "
3691,ei påmelding,"registration, enrolment "
3692,royal -en,[the] royalty 
3693,å overdrive,"to overdo it, overstate "
3694,ei lesning,reading
3695,giftig,"poisonous, venomous"
3696,en sort,sort
3697,en anerkjennelse,"acceptance, acknowledgement"
3698,hiv -en/-et,"[the] heave, lift, load; HIV"
3699,jævla,"goddam, bleeding, effing, bloody"
3700,en tablett,tablet 
3701,et mareritt,nightmare
3702,å overholde,to observe; reserve
3703,å svømme,to swim 
3704,et mandat,"authority, commission, mandate"
3705,en eksistens,existence; (pl.) beings
3706,en stasjon,station
3707,å opparbeide,"to work up, build up"
3708,en lekekamerat,playmate
3709,et eierskap,ownership 
3710,å oppbevare,to keep 
3711,en ingeniør,engineer
3712,oransje,"orange, orange-coloured "
3713,en forbrytelse,"crime, offence"
3714,et lerret,linen (cloth); canvas
3715,utsatt,"exposed, vulnerable, postponed"
3716,en eiendel,"piece of property, estate"
3717,en stabel,stocks; pile
3718,en kommode,"bureau, chest of drawers"
3719,en kødd,"(vulgært) [penis] prick, dick "
3720,utmerket,excellent 
3721,ei duft,"fragrance, odor, perfume; [dial.] dust"
3722,å knote,"to use affected, unnatural language"
3723,troende,believing 
3724,å nikke,nod 
3725,representativ,representative 
3726,medhold -et,"[the] approval, support"
3727,et kapell,chapel; orchestra
3728,ei beretning,"account, report, narrative"
3729,en kanon,"cannon, (big) gun"
3730,en kanin,rabbit
3731,å klø,to scratch; itch
3732,å fyre,"to fire, light, stoke"
3733,et livssyn,"life philosophy, view of life"
3734,ei arbeidsoppgave,"task, job "
3735,å løslate,"to release, set free"
3736,å omgi,"to encompass, encircle; surround"
3737,interrail -en,[the] interrail 
3738,et internat,boarding school
3739,en statsråd,cabinet minister 
3740,import -en,"[the] import, importation"
3741,en komponent,component
3742,en skribent,"writer, author "
3743,ei høyblokk,"high-rise (block, apartment building)"
3744,å brekke,"to break, snap"
3745,et oppkjøp,"acquisition, purchase, buying "
3746,en minister,"minister (for for, of)"
