Norwegian,English
lekker,delicious
idrett -en,"[the] athletics, sports"
å henvise,"to refer, submit, allude"
et landskap,landscape
ei ræv,"arse, bum "
regn -et,"[the] rain, shower, hail"
temmelig,"fairly, rather"
et kutt,cut
et kne,knee
en verdenskrig,world war 
primær,primary 
å forebygge,"to prevent, avert"
å spå,"to prophesy, predict "
språkbruk -en/-et,[the] (language) usage 
teoretisk,theoretical 
å kikke,"to peek, peer"
tilsyn -et,"[the] supervision, attention, inspection"
overordnet,superior 
en lekeplass,playground
en fødsel,birth
landlig,rural
å angi,"to state, give information about"
en sum,sum
kjempestor,"giant-sized, huge"
ivrig,"ardent, zealous, eager"
en oppgang,"ascent, rise, stairway, improvement, upturn"
en revolusjon,revolution 
en røyk,"smoke, fume "
en etterspørsel,demand
internett,internet 
en front,"front [meteor., mil.]"
et fjorår,"last year, (litterært) yesteryear "
forhåpentligvis,"I hope, let us hope that"
en gevinst,"gain, profit"
en sal,hall
ei grend,"neighvorhood, group of farms"
en vitenskap,science
et drama,drama
en frisør,"barber, haidresser"
overalt,"everywhere, anywhere "
en struktur,structure 
et foretak,undertaking
super,super
svineinfluensa -en,[the] swine flu 
ei tunge,"tongue, language "
administrativ,administrative
ei avslutning,"conclusion, end, finish"
skummel,"gloomy, dismal, sinister"
et helvete,hell
en garanti,"guarantee, warranty"
kinesisk,Chinese
et eventyr,adventure; fairytale
en bygård,apartment house; [hist.] town house
ei forsikring,"assurance, insurance"
utvalgt,"chosen, selected "
å loggføre,to log (sjøfart) 
å begrunne,to state the reasons (for); base (on)
en betingelse,"condition, term"
en kjendis,"celebrity, public figure "
å administrere,"to administer, manage"
en motivasjon,motivation 
inspirasjon -en,[the] inspiration
ei vaskemaskin,washing machine 
å tippe,"to bet, tip"
å friste,"to tempt, coax"
en formiddag,"forenoon, morning"
et areal,area (of)
ei påske,Easter 
forkant -en,"[the] front edge, leading edge"
en setning,"sentence, clause; thesis "
en gjenstand,"object, thing, subject"
slalåm -en,[the] slalom 
å arrestere,"to arrest, detain; seize (person or goods)"
ei skøytebane,ice rink 
vedlikehold -et,"[the] maintenance, upkeep, attendance"
å innta,"to consume, partake of; capture"
særdeles,"exceedingly; especially, extremely"
angående,"about, as for, concerning"
en seigmann,jelly baby 
å havne,"to end up, land"
en ytringsfrihet,freedom of speech 
en musiker,musician 
å røre,"to stir, move; feel"
en overraskelse,"surprise, astonishment"
ei måling,"measuring, measurement "
fryktelig,"dreadful, horrible"
tull -en,"[the] nonsense, rubbish"
en fiende,"enemy, foe"
ei løype,log slide; ski track; marked course
en fantasi,"imagination, fantasy"
en definisjon,definition
konkurs,bankrupt
en forbedring,"betterment, improvement"
en kjøper,buyer
et konsept,(rough) draft; (pl) senses
bredde -n,"[the] breadth, width, latitude "
ei skulder,shoulder 
en styreleder,chairman of the board 
en kjøretime,driving lesson 
et smil,smile 
cirka,"circa, about"
å slenge,"to throw, toss, sling"
en indianer,(American) Indian
å slappe,"to relax, unbrace, unstring, slack"
underholdning -en,"[the] entertainment, diversion, amusement "
et team,team 
en grønnsak,vegetable 
å renne,"to run, pour, flow, overrun"
en sofa,sofa 
en skygge,shade
muntlig,"verbal, oral"
en samboer,cohabitant 
en hovedstad,capital (city)
adgang -en,"[the] access, approach; opportunity"
å kvalifisere,to qualify
enighet -a,"[the] agreement, unanimity"
gradvis,"by degrees, gradually"
en klem,"crush, pinch, emphasis"
en elektriker,electrician
ei godkjenning,"approval, sanction"
åndelig,"spiritual, meditation, movement, mental"
et brød,"bread, loaf of bread, living, employment"
et mønster,"model, picture, design, pattern "
Brasil,Brazil
en premie,prize 
å utstyre,"to furnish, equip, fit out, provide"
et landslag,national team; nation-wide organization
en planet,planet 
en utgang,"exit, way out, close, end"
barnevennlig,"child-friendly, beneficial to large families "
istedenfor,instead of
ei regning,"bill, account; calculation"
ei fordeling,"distribution, dispersion"
et preg,"character, feature "
markert,"marked, pronounced "
kriminell,criminal
verdifull,valuable
å skjære,"to cut, chip, slice, carve "
dritt -en,"[the] excrement, filth [vulg.]"
å gjemme,"to keep, preserve"
ei ettertid,future; posterity
brutal,brutal
en investor,investor 
ei skrift,"writing, publication, alphabet, font"
beskyttelse -n,"[the] protection, shelter"
en tomannsbolig,duplex 
sint,"angry, mad "
et talent,talent
å komplisere,to complicate
å tilbringe,"to pass, spend (time)"
å koke,to boil; cook
et minimum,minimum 
borgerlig,"bourgeois, civil, middle-class"
ei begrensning,"limit, limitation; restriction"
elendig,"miserable, unhappy, wretched"
å tilføre,"to carry to, supply"
uklar,"confused, not clear"
en annonse,"ad, advertisement"
intens,intense
likestilling -a,[the] equality
å putte,to put 
å forårsake,"to bring about, cause"
en generalsekretær,secretary general
grå,"gray, grizzled"
israelsk,Israeli
komplett,complete
en ytelse,"output, performance, capacity"
en markedsføring,marketing 
ei mus,mouse
matematikk -en,[the] mathematics
klinisk,clinical
et yrke,"occupation, trade, craft"
ei bivirkning,"side effect, repercussion"
usaklig,irrelevant; arbitrary and capricious 
massiv,massive; solid
et vedlegg,"attachment, enclosure"
et semester,semester 
ei lærerinne,(woman) teacher
dekning -a,"[the] cover, covering; [merc.] payment (of bills)"
et rykk,"tug, jerk, yank "
en variasjon,variation 
trang,narrow 
spesifikk,specific 
en ferdighet,"accomplishement, dexterity, skill"
en visjon,vision 
å mistenke,to suspect (of)
et landsmøte,national congress 
mental,mental 
derfra,"from there, from that point; thence; as a result"
ei trapp,stairs
å logge,to heave the log
en respons,response 
å skrike,"to scream, shriek "
et underskudd,"deficit, shortage, deficiency"
å lukte,to emit an odor; smell
kristendom -men,[the] Christianity
en bildekvalitet,image quality 
å plage,"to bother, pester, torment, worry "
å respektere,respect 
permanent,permanent
ei flate,"expanse, surface; level, plain"
å blogge,to wound
å orientere,"to inform, instruct "
en drabantby,satellite city
ei sammenligning,comparison 
miljøvennlig,environmentally sound/friendly 
å oppdatere,"to update, revise "
en benk,"bench (for sitting on, working at); pew, row"
å stimulere,to stimulate
et arkiv,"archive(s), file"
en basis,"base, basis "
en bod,"shack; shop, stall"
angst -en,"[the] anxiety, dread, fear"
å forhandle,"to discuss, negotiate, distribute"
en utgivelse,"publishing, publication "
en premiere,"opening night, premiere "
apropos,"apropos, at the right moment; [interj.] by the way, speaking of"
en vits,"point, use; joke, witticism"
musikalsk,musical 
ei mil,mile 
en vikar,"temp; substitute, deputy"
et skjema,"form, outline "
en forstand,"intellect, mind"
et vaskerom,washroom
et terreng,"country, terrain, ground "
et innslag,"element, strain"
en inngang,"entrance, entry"
berømt,famous
å avdekke,to unveil
finansiell,financial
en arkitekt,architect
å seile,to sail 
en kyst,"coast, shore"
ei utredning,"explanation, elucidation; study"
ei oppvarming,"heating, warming"
et tiår,decade 
et tettsted,community; densely populated area 
eksklusiv,exclusive
et fravær,absence
å skryte,"to boast, brag"
å oversette,"to translate, turn, render, do "
visstnok,reportedly; probably
en sokk,sock 
småtteri -et,"[the] trifles, small matters "
en hemmelighet,secrecy; secret
en trygghet,"safety, security, assurance "
å fikse,"to arrange, fix up; falsify"
arbeidskraft -en,"[the] ability to work, working capacity; labor, labor force"
en skuter,scooter 
å gjenstå,"to be left, remain"
et utseende,"appearance, look(s)"
å slåss,"to fight, struggle"
et intervju,interview
å erfare,"to experience, find out"
å drøfte,"to debate, discuss, talk over"
å reflektere,to reflect 
å videreføre,"to continue, pursue "
å plusse,to add
ei mark,"unit of land/weight, mark (currency)"
å angre,"to repent, be sorry for"
et album,album
ei parkering,parking 
et lyn,lightning; flash
en rådmann,"chief officer, city manager "
et utsagn,"statement, assertion"
høyst,"exceedingly, extremely; at the most"
detaljert,detailed
et sett,"set, unit, array "
å angå,"to concern, refer to, relate to"
et utdrag,"extract, abstract, summary"
en relasjon,"relation, affiliation "
en stol,chair 
å melke,to milk
en atmosfære,atmosphere
behagelig,comfortable; pleasant
kollektiv,collective
et regime,regime
infrastruktur -en,[the] infrastructure
rettferdig,"just, fair, righteous"
nedsatt,"diminished, reduced "
en kjole,"dress, frock, gown"
italiensk,Italian
å forhindre,"to hinder, obstruct, prevent"
en tilhenger,"follower, adherent, supporter "
en klovn,clown
stiv,"stiff, rigid "
presis,"to precise, punctual "
gunstig,"favorable, propitious"
å spore,"to spur, urge on "
å utmerke,to characterise
bistand -en,"[the] aid, assistance"
å pågå,"to be proceeding, be in progress "
ei betraktning,"consideration, contemplation"
en høyttaler,loudspeaker
en rutine,routine 
sannsynlighet -a,"[the] probability, likelihood "
et distrikt,district
et idrettslag,athletic club
å tilrettelegge,"to arrange, organize"
ei tegning,"drawing, sketching"
å fotografere,to take a photograph of
et kår,"circumstance, condition, environment"
en server,server 
ei ski,ski 
å besvare,"to answer, reply to"
et pust,"breath, puff"
å bøye,"to bend, bow, flex, curve, turn"
å pålegge,"to impose, advance, direct, instruct "
manuell,"manual (labor, etc.)"
å lønne,"to remunerate, reaward; pay (salary)"
tusenvis,"i ~ = in thousands, by the thousand "
et samspill,"interplay, interaction"
et eksemplar,"copy; model, paragon"
å skuffe,"to disappoint, let down "
treg,"dull, slack"
en samvittighet,conscience 
en doktor,"doctor, psysician"
sosialistisk,"socialistic, socialist "
ei hylle,"case, covering"
å styrte,"to fall, plunge. dash"
ei løgn,"falsehood, lie"
å lyde,to sound; be heard; be made out
en fabrikk,"factory, mill, works"
en diagnose,diagnosis
Amerika,America (often of U.S.A. only)
en ambisjon,ambition
å ankomme,"to arrive, get (to)"
å utforme,"to shape, model, frame "
materiell,"material, materialistic"
å lette,"to ease, lighten"
å påvise,"to point out, show, prove, establish "
radikal,radical 
å iverksette,"to carry into effect, emplement"
å jakte,to hunt
et glimt,"flash, glimmer"
et univers,universe 
refleksjon -en,"[the] reflection, thought "
eksempelvis,"as an example, for example"
en reduksjon,reduction
tungvint ,"bothersome, mucky "
liberal,liberal
et apotek,pharmacy
kjennskap -en/-et,"[the] acquaintance, familiarity; knowledge"
moderat,"moderate, reasonable "
foruten,"besides, in addition to"
en retur,return 
en sorg,"sorrow, grief, mourning, regret"
fleksibel,flexible
et oppsett,"layout, notice, display"
å intervjue,to interview
et stadion,stadium 
kontinuerlig,continuous
sta,headstrong 
filosofi -en,[the] philosophy
en snekker,carpenter 
en arv,"inheritance; bequest, legacy"
å kysse,to kiss
en flyktning,"fugitive, refugee"
forebyggende,preventive
å tørke,"to dry, dry off "
en database,database
ei overføring,"transfer, transport, transmission, communication "
ei hjemmebane,"home field, grounds (sports)"
ei bekymring,"anxiety, worry"
ubehagelig,"unpleasant, disagreeable "
å droppe,"to drop, let go"
å hilse,"to greet, nod to (in greeting)"
ei klimaendring,"climate change, change of climate "
en landsby,village
ei bygd,countryside
å pugge,"to cram, swot, memorize"
en prestasjon,"performance, achievement, feat "
en fisker,fisherman
et sår,wound 
en rettssak,"case, court case, lawsuit"
uskyldig,"innocent, chaste, pure "
travel,busy 
å puste,"to breathe, pant "
optimal,"optimum, optimal"
en opposisjon,opposition 
Moskva ,Moscow 
vedrørende,"regarding, concerning "
en moped,moped 
skadelig,damaging 
en dimensjon,dimension
å fremgå,"to be a result, result from"
ei avkastning,"income, yield"
et magasin,storehouse; department store; magazine
erfaren,experienced
en haug,"hill, mound"
en sekk,"sack, bag "
å svinge,to swing
en glipp,blink
en nøkkel,key 
hvorav,"(from) what, which, whom; how"
et sete,seat; buttocks 
ei overflate,surface 
å antyde,"to hint, intimate, suggest"
håpløs,"despairing, hopeless"
en kokk,cook
utvilsom,"indubitable, undoubted "
en oppstart,start-up 
terror -en,[the] terror 
latterlig,"laughable, ludicrous"
en kjeft,"jaw, mouth; abuse, scolding"
kos -en,[the] course; coziness
varig,"durable, lasting"
et gjennomsnitt,"average, mean"
fritid -a,[the] leisure time
et standpunkt,standpoint 
en skjebne,"fate, destiny, fortune "
samisk,"Sami, Lapp "
sammensatt,"made up, compound, composite "
glatt,"plain, sleek, smooth"
kreft -en,"[the] cancer, cancerous growth"
irriterende,"irritating, annoying, tiresome"
å heie,to cheer
en tiltalt,"defendant, (the) accused"
harry,"(slang) cheesy, shabby "
vanvittig,insane
en grunnskole,primary and lower secondary school (1-10); compulsory schooling
grusom,"cruel, awful"
oppi,in 
å grine,"to grimace, fret, nag"
ei kasse,boksz; case; crate
et grann,"bit, particle"
hjemmelaget,homemade
et funn,"dicovery, find"
å støte,"to offend, hurt "
sosialisme -n,[the] socialism 
hastighet -a,"[the] speed, velocity"
en hall,entrance hall
kaos -et,[the] chaos
et fortau,sidewalk
maksimal,maximum
en folkehøyskole,county college 
rosa,pink 
å klatre,"to climb, clamber"
alminnelig,"common, universal"
ei kjerne,churn
å suge,to suck 
et soverom,bedroom
bakover,"back, backwards"
å erte,to tease
å smelle,"to click, crack, slam, bang"
konstant,"constant, stable"
ei målsetting,"goal, objective, target "
en sosialist,socialist 
en forpliktelse,"commitment, obligation"
en palestiner,Palestinian 
stram,"tight, stiff, upright"
en bondegård,farm 
å yte,"to yield, render, produce "
bærekraftig,viable 
bacon -et,[the] bacon
en kost,brush; broom; food; fare; board
tilknyttet,connected with
utelukkende,"exclusively, solely "
særskilt,"separate, distinct "
konservativ,conservative
en park,park 
å identifisere,to identify
ønskelig,"desirable, to be desired, required "
innebygget,internal 
gress -et,[the] grass
å utbre,"to spread, unfold"
ei ungdomstid,"youth, youth years "
et inntak,intake
et spark,kick 
en sykepleier,"nurse, trained nurse "
en kaptein,captain
et hat,"animosity, hate"
et instrument,instrument
en kjeller,"basement, cellar"
en sjåfør,driver; chauffeur
et notat,note 
å offentliggjøre,"to publish, issue"
en ungdomsskole,lower secondary school 
problematisk,problematic 
å fremstille,"to depict, represent, manufacture"
tragisk,tragic 
en prat,"chat, talk "
å kommunisere,to communicate
kapitalisme -n,[the] capitalism
et innkjøp,purchase
et medlemskap,membership
en fornuft,"(common) sense, intelligence, reason"
en skolevei,way to school 
et personale,"personnel, staff"
trådløs,wireless 
en bokstav,letter
tverrfaglig,"interdisciplinary, multidisciplinary "
en nakke,neck
en protest,protest
en revy,review 
å våge,"to venture, dare"
å ramle,"to rumble, rattle "
heftig,"intense, severe, violent"
å analysere,to analyize
å skylde,to owe 
teknologisk,technologic(al)
et piano,piano 
stakkars,"poor, unfortunate, wretched"
middels,"average, mean, medium"
å forsikre,"to assure, assert, maintain"
visuell,visual 
mystisk,"mystic, mysterious"
å erklære,"to declare, proclaim"
støv -et,[the] dust 
mestepart -en,[the] bulk
å utdanne,"to educate, train "
å frakoble,"to disconnect, disengage, uncouple"
en redaksjon,"editorial staff; wording, drafting"
beskjeden,modest
et meieri,dairy
et sinn,"mind; temper, disposition "
tykk,"fat, plump, thick"
å nominere,to nominate 
en graviditet,pregnancy
betaling -a,"[the] pay, payment, salary"
en ulv,wolf 
kriminalitet -en,[the] criminality
en utvidelse,"expansion, extension, enlargement"
en utenriksminister,Minister of Foreign Affairs
en kuldegrad,degree below the freezing point
en referanse,reference 
å omhandle,"to deal with, treat"
en myte,myth 
blind,"blind; hidden, unseed"
en lunsj,"luncheon, (noon) dinner"
trett,"weary, tired "
en kontrast,contrast
et institutt,"institute, institution"
en karamell,caramel
kjøring -a,"[the] driving, riding"
bærbar,portable
jødisk,Jewish
en juleferie,Christmas holidays
et skap,"cabinet, cupboard, wardrobe "
tolv,twelve 
etterkant -en,"[the] i ~ = after, afterwards "
klok,"wise, intelligent"
å realisere,to realize
unntatt,except 
forbanna,"accursed, cursed, confounded"
å forkorte,"to cut short, shorten, abridge"
en heis,"elevator, hoist"
ei rute,"pane; route, delivery"
en kronikk,freature article; news analysis
kunstnerisk,artistic
et rør,"pipe, tube, conduit"
en advarsel,warning; notice
et halvår,half a year
ei potet,potato
gårdsdrift -a,"[the] farming, farm work, running a farm"
en analytiker,analyst
et gardsbruk,"farm, farming"
ei sky,cloud 
flau,"flat, insipid"
kjemisk,chemical
en frosk,frog
en reform,reform 
å utøve,"to exercise, practise"
en førskole,"preschool, nursery school "
en kniv,knife
femte,fifth
en pressekonferanse,press conference
uro -en,"[the] alarm, unrest, commotion"
logisk,logical
flytende,"fluid, liquid, molten"
å røyke,"to smoke, fumigate "
å bekjempe,"to combat, fight against"
å dyrke,to cultivate; practice
å flykte,"to flee, fly, run away"
bortskjemt,spoiled (e.g. a child)
en bom,"bar, barrier, hindrance, boom"
konstruktiv,structural; constructive
helhetlig,"overall, general "
en intervjuer,interviewer 
en bekk,"brook, creek"
enstemmig,unanimous
ei barnevogn,baby carriage
en storm,storm
sårbar,vulnerable
en pensjon,pension
å baksnakke,"to slander, speak ill of"
å forelske,to fall in love with
å avhenge,to depend (on)
en moral,morals
en disk,"counter, [obs.] table"
en intensjon,"intent, intention"
kronisk,chronic
ei stang,"bar, pole, rod"
palestinsk,Palestinian 
et mørke,"darkness, obscurity "
atferd -a,[the] behaviour
en svakhet,weakness
å tygge,to chew
ei mappe,folder; portfolio
allmenn,"general, common, public"
tran -en,"[the] cod-liver oil, fish oil "
en latter,"laugh, laughter"
tvilsom,"doubtful, questionable, dubious "
en lapp,patch; scrap
å utrede,"to explain, clear up"
en toer,"two, two-spot, deuce "
en mur,wall
et tjern,"pond, tarn, small lake "
en observasjon,observation 
påfølgende,"following, subsequent "
et symbol,symbol 
ei lansering,"starting, launching "
en e-postadresse,e-mail address 
å isolere,to isolate
å makte,"to be able (to), manage"
et dekk,[naut.] deck; tire
desperat,desperate
en prosjektleder,project director 
å riste,to shake; grill; shiver
ei utskrift,"printout, copy, transcript "
uendelig,"endless, infinite"
lønnsom,"paying, profitable"
Europa,Europe
ei overskrift,heading; headline 
en skitur,skiing trip 
arabisk,"Arabian, Arabic"
et kryss,cross
å oppsøke,"to seek out, go and see, look up"
desto,the [with comparatives]
en neve,fist 
en domstol,"court of law, tribunal"
velkjent,"familiar, well-known "
å vandre,"to migrate, creep, wander"
å kopiere,to copy
et oppslag,"notice, publicity "
en mistanke,suspicion 
å illustrere,to illustrate
et stikkord,"headword, entry"
en personlighet,"personality, individuality "
ei venstreside,left wing 
et lår,thigh; leg (of a slaughtered animal)
passelig,"fitting, suitable"
en pose,"bag, pouch "
ei tolkning,interpretation 
et hjemland,homeland
å begå,to commit
en tingrett,District Court
peiling -a,"[the] bearing, sounding "
ei høring,"hearing, inquiry"
en bydel,"area, district, part, section (of a city)"
å overlate,to let sby have; hand over 
et skjul,"hiding place, shelter, shed "
et hjelpemiddel,"aid, help"
et premiss,terms 
ei måke,snow pusher; gull 
mannlig,male
et maleri,"painting, picture; art of painting"
ei lysløype,lighted ski trail
en revisjon,"audit, revision "
passende,adequate 
magisk,"magic, magical"
ei vakt,"watch, guard"
å balansere,"to balance, keep one's balance"
et lager,"storeroom, warehouse"
bensin -en,[the] gasoline
iallfall,"anyway, at any rate, at least"
et kvinnfolk,"[fam./derog.] woman, womenfolk"
å beslutte,"to decide, resolve"
kullsyre -a,[the] carbon dioxide
overtid -a,[the] overtime 
aggressiv,aggressive
ei krabbe,crab
å presisere,"to define precisely, amplify; stress"
trivelig,"nice, snug, friendly "
å fastslå,"to assert, maintain; demonstrate"
jevnlig,"frequently, often "
å avklare,to clarify
et redskap,"tool, instrument "
klin -et,"[the] slop, smear "
langsom,slow; protracted; boring
et kjøpesenter,"shopping centre, shopping center "
et vern,"protection, defence"
ei bedring,betterment; improvement
etikk -en,[the] ethics
å jukse,"to cheat, fudge"
et vesen,"being, creature "
mobbing -a,"[the] bullying, victimization "
ei jakke,(suit)coat; jacket; cardigan
en tilværelse,existence 
søvn -en,[the] sleep 
hen,"away, off, over"
å krysse,to cross
et arbeidsmarked,labour market 
liknende,"comparable, like, similar"
langvarig,"long(lasting), prolonged"
å dominere,"to command, dominate"
en høstferie,"fall break, autumn holiday"
en pub,public house 
hockey -en,[the] hockey
mør,"tender, stiff, aching "
en innovasjon,innovation 
en opera,opera 
omvendt,"inverted, reversed; the other way round "
å øve,"to practice, exercise, exert "
ei prioritering,"prioritizing, priority "
en halvdel,half
nysgjerrig,"curious, inquisitive, nosy "
en strek,"line, stroke "
et sprang,"jump, leap, bound, spring "
en arkitektur,architecture
å forbli,to keep silent
et minus,"deficiency, deficit, drawback"
et stikk,"prick, sting, print"
et utspill,"lead, kick-off, initiative, move "
en katastrofe,catastrophe
en profet,prophet 
en fatter,"[hum.] the old man, papa"
å tilnærme,"to approach, come closer "
kunstig,artificial
rekruttering -a,[the] recruitment 
en ener,"one, number one"
å forplikte,to oblige
en barndom,"childhood, infancy"
jammen,"certainly, indeed"
å tenne,"to light, turn on"
meningsløs,meaningless
indisk,Indian (from India)
genial,genious
å utløse,"to release, redeem"
en danske,Dane
bar,"bare, naked; sheer; only [mostly in df]"
ei arbeidstid,time for working; working hours
en spesialist,specialist
et mellomrom,"interval, interstice "
å anke,to complain; worry
å juble,"to exult, rejoice"
skjønn,assessment
geografisk,geographical
å benke,to straighten out; seat
hyppig,frequent
å betegne,"to put a mark on; characterize; mean, signify"
en finansminister,Minister of Finance
å begrave,to bury
banning -a,"[the] cursing, swearing"
regelmessig,regular
å rykke,"to pull, jerk, yank "
ei takt,"tact, discretion"
fredelig,"peaceful, pacific"
nervøs,nervous 
romantisk,romantic
en vinkel,"angle, square"
lovende,promising
vanke,"frequent, visit often "
et kors,cross
en smule,"particle, bit, scrap "
en gitar,guitar
å avvikle,"to liquidate, wind up"
et frispark,"free kick, penalty kick"
en port,"slot; gate, gateway"
å titte,"to peek, peep "
underlig,"strange, odd, queer "
finsk,Finnish
håndtering -a,[the] handling; trade
tortur -en,[the] torture
en arrangør,arranger
å tisse,to pee
et sjokk,shock 
ei leppe,lip
å flyte,"to flow, run; float"
prinsipiell,"basic, fundamental, principal "
en avgang,"departure, decline, decrease; retirement; sale"
bekostning -a,[the] expense
et studiepoeng,"credits, units "
en livsstil,"lifestyle, way of life "
å spinne,to spin; purr
å rote,"to rummage, make a mess of things "
en infeksjon,infection
en snømann,snowman 
ei unnskyldning,"apology, excuse, justification"
en kompis,"[pop.] pal, sidekick"
ei etterforskning,"inquiry, investigation "
dynamisk,dynamic
å anslå,"to estimate, value"
et utslag,"swing, deflection, turn "
ei flue,fly
tenkning -en,"[the] thinking, though"
et skiføre,skiing conditions 
hensiktsmessig,"appropriate, suitable"
et volum,volume 
ei skål,"cup, bowl"
å skinne,"to shine, glow, blaze"
en streik,strike 
en nybegynner,"beginner, novice"
å bosette,to settle
å pusse,"to clean, polish"
en tropp,troop
å sprekke,"to crack, burst "
en idiot,"idiot, idiocy"
ei belastning,"charge, debit; load, loading"
å omkomme,"to perish, be lost"
en bursdag,birthday 
sand -en,"[the] sand, grit"
en plen,lawn 
overkant -en,"[the] top, upper edge "
en beboer,dweller; occupant
et manus,"manuscript, script "
ei pil,"arrow, dart; willow"
en orgasme,orgasm 
ei oppsummering,summary 
jævlig,"devilish, hellish"
orientering -a,"[the] orientation, briefing"
indirekte,indirect
ei oppkjøring,run-up 
en tippeliga,premier league 
å fengsle,"to imprison, confine, enthrall"
å anklage,to accuse
en kopp,cup
å overse,"to overlook, miss"
en handlingsplan,"action plan, plan of action "
pårørende,"relation, relative, next of kin "
et tastatur,keyboard 
ei menneskehet,humanity 
å mure,to build
et helsevesen,public health service 
å fremheve,"to call attention to, stress"
en komedie,comedy
å innlede,"to begin, open; introduce"
en kamerat,comrade
avholdt,"beloved, popular"
ei bønn,"prayer; apeal, entreaty"
en tysker,German
hvile -a,[the] rest
å fornye,to renew
fornybar,renewable 
estetisk,esthetic
innover,along 
deriblant,"among these (those, them); including"
imellom,between; among
en plattform,platform 
et nyhetsbrev,newsletter 
forsvarlig,"defensible, justifiable"
et speil,"mirror, glass "
ei kjellerstue,"rumpus room, recreation room "
et hi,winter lair
halvannen,one and a half
en kjele,"kettle, pot; (steam) boiler"
ei målgruppe,target group 
ei innside,inside
en arbeidsledighet,unemployment 
å grave,to dig
løpende,running
en jævel,devil 
å prestere,to perform 
optisk,"optical, optic"
en liga,league
et register,register
en sjokolade,chocolate 
ei påvirkning,influence 
en skam,shame 
å sjokkere,to shock 
en nedtur,"decline, disappointment "
dominerende,"commanding, dominant"
slank,"slim, slender "
å forlange,"to ask for, demand, insist upon"
hes,"hoarse, husky"
fett -et,"[the] fat, gease"
en gårsdag,yesterday
grøt -en,"[the] mush, porridge"
ei tåre,tear 
et gode,"benefit, blessing"
å gjete,"to visit, frequent"
utfordrende,"challenging, defiant "
en vinge,wing 
et kast,"cast, throw; toss; gust (of wind)"
et protein,protein 
et telt,"tent, marquee "
vell -et,[the] spring; abundance
et svangerskap,pregnancy 
å henvende,"to address, direct"
en mote,"fashion, mode "
en svenske,Swede 
å forvirre,"to bewilder, confuse"
universell,universal
å etterlyse,"to advertise for, institure a search for"
et arsenal,arsenal
å oppholde,"to keep, delay, hold up"
en høyesterett,Supreme Court
en tilskuer,spectator 
urettferdig,unfair 
formidling -a,"[the] dissemination, negotiation "
en danseskole,dancing school
psykologisk,psychological 
en psykolog,psychologist 
ideell,"ideal, perfect; idealistic"
en serierunde,(sport) series 
ei regulering,"regulation, control, governing "
ei forurensning,"contamination, pollution, impurity"
et bedehus,(religious) meeting house
narkotika -en,"[the] narcotics, drugs, anaesthetics "
en barnevakt,baby-sitter
pensum -et,"[the] syllabus, curriculum"
konsentrasjon -en,[the] concentration
en harddisk,"fixed disk, hard disk "
forståelig,comprehensible
et årstall,"date (of the year), year"
å fryse,to be/feel cold; freeze
korrupsjon -en,[the] corruption
en hai,shark
Afrika,Africa
et show,show 
å omsette,"to dispose of, sell; realize"
en nettleser,browser 
å lyve,"to lie, tell a falsehood"
friluftsliv -et,[the] outdoor life
rasjonell,rational
en kvadratmeter,square meter (1.193 sq. yds.)
ei generalforsamling,general assembly; board meeting
utallig,"innumerable, numberless"
velferd -a,"[the] welfare, well-being "
å brygge,to brew
en vaktmester,"janitor, caretaker"
ei beregning,"calculation, estimate, ingenuity"
en utedo,privy 
et steg,"step, stride"
en underetasje,basement
en leir,camp
å lande,to land
å anvende,"to use, utilize, make use of"
kostbar,"costly, expensive"
akademisk,academic
å gjengi,"to give back, restore [archaic]"
et hakk,"stammer, stutter, notch"
en argumentasjon,argumentation
å krangle,"to bicker, squabble"
et treff,hit; chance 
en oppdretter,breeder 
å tømme,"to drain, empty, clear "
en appell,appeal
en kabel,"cable (rope, wire, electric)"
ei bombe,"bomb, bombshell"
en passasjer,passenger 
ei bølge,wave
sult -en,"[the] hunger, starvation, famine "
en sommerferie,summer holidays 
en dokumentar,documentary film 
en oppførsel,"behaviour, manners "
et Stortingsvalg ,general election
et referat,"account, report, minutes "
å smøre,"to oil, lubricate, grease"
pågående,"ongoing, energetic, pushing"
småting -en,"[the] trifles, little things"
en kommisjon,commission
et småbruk,"small holding, small farm "
ei oppslutning,support
oppå,"on, upon, on top (of)"
en slalåmbakke,"slalom hill, ski slope "
ei skråning,slope 
en sti,path 
uønsket,"unwanted, unwished for; undesirable"
ei overvåking,"surveillance, inspection, observation"
slitsom,"hard, strenuous, toilsome "
ei kake,"cake, cookie"
brukbar,"fit for use, passable, fairly good"
ei matvare,"food, provisions"
ei sag,saw 
ideologisk,ideological
strategisk,strategic 
et boligmarked,housing market
ei rundkjøring,"roundabout, traffic circle "
å lyse,"to shine, lighten, dawn"
å annonsere,to advertise; announce
inflasjon -en,[the] inflation
separat,separate 
å skyve,"to push, shove "
et hinder,"fence, obstacle"
skyldig,guilty
en onkel,uncle 
verdig,worthy
en halvtime,half hour
en offentlighet,"public access, disclosure, publicity "
astma -en,[the] asthma
en fredspris,(Nobel) peace prize
akutt,acute
å frustrere,to frustrate
østre,eastern
en betegnelse,designation; indication
ei forelesning,(university) lecture
å forestille,"to introduce, present, depict"
en ektemann,husband
et verksted,"workshop, repair shop"
å anerkjenne,"to recognize, acknowledge"
smal,"narrow, slender"
uventet,unexpected
å bevilge,"to appropriate, grant"
